"Duration..in.seconds.","Finished","ResponseId","Q2","Q3","Q4","Q2.1","Q3.1","Q4.1","Q2.2","Q3.2","Q4.2","Q5","Q5_5_TEXT","Q6","Q6_5_TEXT","Q7","Q8","Q8_4_TEXT","ConditionAssigned"
"186","True","R_2abK14rV2Tm7jZQ","","","","Slightly surprising","Extremely likely","Slightly unlikely","","","","Not Affiliated","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"46","True","R_3g6LePmlQn4jRUZ","","","","","","","Extremely unsurprising","Neither likely nor unlikely","Slightly unlikely","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"57","True","R_7Z4zcdlWkTaDvz3","","","","Moderately unsurprising","Extremely unlikely","Slightly likely","","","","Not Affiliated","","Man","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"67","True","R_2EASpw0gdfYGLv4","Slightly surprising","Slightly likely","Neither likely nor unlikely","","","","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"55","True","R_3Ppe6eftkbyHJtu","","","","","","","Moderately unsurprising","Moderately unlikely","Moderately unlikely","Students","","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"46","True","R_5PUC9jWvjrc2uiO","Slightly surprising","Moderately likely","Slightly likely","","","","","","","Students","","Man","","22","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"1777","True","R_7ZDEnH2UGxlIhRn","","","","Slightly surprising","Slightly likely","Moderately likely","","","","Students","","Man","","37","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"118","True","R_3LjwAmexbDXOgLh","","","","Slightly surprising","Moderately likely","Slightly likely","","","","Students","","Man","","23","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"413","True","R_2KU8EvcMVhMPj2N","Slightly unsurprising","Moderately unlikely","Moderately unlikely","","","","","","","Students","","Man","","23","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"61","True","R_2mR9Ksddh50zAg9","","","","","","","Extremely unsurprising","Slightly likely","Moderately unlikely","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Other (Specify)","money/accessibility","Control"
"105","True","R_5gotcD7dNTdZpBG","","","","","","","Moderately unsurprising","Slightly unlikely","Slightly likely","Staff","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"225","True","R_7f20dqhbKEoB1iF","Moderately unsurprising","Extremely likely","Moderately likely","","","","","","","Other (please specify)","Student and Staff","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"809","True","R_7xwKPK7p9EVg4Bz","","","","Slightly surprising","Moderately likely","Moderately likely","","","","Not Affiliated","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"91","True","R_5LiL7NCd0SBcomt","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Not Affiliated","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"90","True","R_3mK4BUgiwP6wxzZ","Moderately unsurprising","Moderately likely","Slightly likely","","","","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"114","True","R_1bHJ0O43vdhKAV0","","","","Slightly unsurprising","Moderately unlikely","Slightly likely","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"39","True","R_24TjTeOgE2zSowx","Moderately surprising","Moderately unlikely","Moderately unlikely","","","","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"125","True","R_2fl7hdtQwtxxVnj","","","","","","","Extremely unsurprising","Neither likely nor unlikely","Neither likely nor unlikely","Other (please specify)","Former student","Man","","24","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Control"
"57","True","R_1hyJ9f6tdMCeaDT","","","","","","","Neither surprising nor unsurprising","Extremely unlikely","Extremely unlikely","Students","","Man","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"86","True","R_3Hh4navj6tsEmaZ","Slightly surprising","Neither likely nor unlikely","Neither likely nor unlikely","","","","","","","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"56","True","R_1J9JPJaR04zi7Rt","","","","Moderately unsurprising","Moderately unlikely","Extremely unlikely","","","","Students","","Man","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"40","True","R_1dvufLTspDPbzck","Neither surprising nor unsurprising","Neither likely nor unlikely","Slightly unlikely","","","","","","","Students","","Man","","22","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"89","True","R_7YKaX2aoBrHMZMs","","","","Neither surprising nor unsurprising","Slightly unlikely","Slightly unlikely","","","","Students","","Man","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"55","True","R_3118Lv58YN9pD0V","","","","","","","Moderately surprising","Extremely likely","Moderately unlikely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"55","True","R_5MzidzwtuhLYvpJ","Slightly unsurprising","","Slightly likely","","","","","","","Students","","Man","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"101","True","R_2PoiGVK6i0A7nXK","","","","Slightly surprising","Slightly likely","Slightly unlikely","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"47","True","R_115ZRxEeXjRsoOx","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"91","True","R_2JDSmJckpIdxNZW","","","","Moderately unsurprising","Moderately unlikely","Slightly likely","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"115","True","R_7KBE0L3VWqFmRPH","","","","","","","Neither surprising nor unsurprising","Slightly unlikely","Moderately unlikely","Not Affiliated","","Man","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"148","True","R_1M4DT8KBR2JACef","Extremely unsurprising","Moderately unlikely","Extremely unlikely","","","","","","","Not Affiliated","","Man","","24","Other (Specify)","Not being someone who would always forget to bring a cup/ didn't order so much for delivery","Gain"
"236","True","R_10qJnBf326dwLgR","Slightly unsurprising","Neither likely nor unlikely","Moderately unlikely","","","","","","","Not Affiliated","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"125","True","R_1CPdoKZcUepogMG","","","","Extremely surprising","Slightly unlikely","Moderately unlikely","","","","Students","","Man","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"62","True","R_39yPUjZyOKkQzzr","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Students","","Man","","22","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"47","True","R_2t9lKbqtsLOTTHn","Moderately unsurprising","Moderately unlikely","Neither likely nor unlikely","","","","","","","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"109","True","R_4fl0mBO2DJdAypf","","","","","","","Neither surprising nor unsurprising","Moderately unlikely","Slightly likely","Students","","Woman","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"53","True","R_1pmNHgxgDC0Uc79","","","","Moderately unsurprising","Slightly likely","Slightly likely","","","","Students","","Man","","22","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"52","True","R_1njVZ4LfzDpKQhj","","","","Moderately unsurprising","Slightly unlikely","Slightly unlikely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"79","True","R_11AGukIXLIB9BsU","","","","","","","Moderately unsurprising","Slightly likely","Extremely unlikely","Not Affiliated","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"53","True","R_7aFKemFfIMcrU9b","Slightly surprising","Extremely likely","Slightly likely","","","","","","","Not Affiliated","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"117","True","R_1EkKLsSvHn0eCNr","","","","","","","Neither surprising nor unsurprising","Slightly likely","Moderately unlikely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"64","True","R_7eeHvGlK0BTRTA4","","","","Moderately unsurprising","Moderately unlikely","Moderately unlikely","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"156","True","R_7QLNYfGmypHlEHf","Extremely unsurprising","Slightly unlikely","Extremely unlikely","","","","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug),Other (Specify)","More convenience for using personal mugs (ex. getting your mug washed at the cafe)","Gain"
"76","True","R_8hFK2zxtBP8mhLz","","","","","","","Moderately unsurprising","Slightly unlikely","Slightly likely","Students","","Man","","19","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"58","True","R_7Eb31QoETwsnM32","","","","Slightly unsurprising","Moderately unlikely","Moderately unlikely","","","","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"73","True","R_5IZevmhSIDECSrf","Slightly surprising","Neither likely nor unlikely","Slightly unlikely","","","","","","","Students","","Man","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"96","True","R_5LgU9kcp0bxoEC0","","","","","","","Moderately unsurprising","Slightly unlikely","Slightly likely","Students","","Man","","22","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"174","True","R_89tOl6oQNIg8ME9","","","","Moderately surprising","Moderately likely","Slightly likely","","","","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"61","True","R_2RxUorgVzH20WPX","Extremely surprising","Moderately likely","Moderately likely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"89","True","R_1LfCkmPptmnlfXP","","","","","","","Moderately surprising","Moderately unlikely","Moderately unlikely","Faculty Member","","Man","","40","Other (Specify)","Changes in laws/regulations or possibly the social norms for single-use cups (i.e., shame)","Control"
"111","True","R_7ZDnTEVxoi3Bnsl","","","","Slightly surprising","Slightly likely","Moderately likely","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"73","True","R_5HN5VS5oJnQCI4r","","","","","","","Extremely unsurprising","Moderately likely","Slightly likely","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"95","True","R_2exbGD6iAIA5gi7","","","","Slightly unsurprising","Extremely likely","Slightly unlikely","","","","Other (please specify)","Ex-student (transferred out)","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"297","True","R_1oBkB7Xxfjwp6Kx","Slightly surprising","Moderately unlikely","Moderately unlikely","","","","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"112","True","R_2kZZnYBqsL4hgEx","","","","Neither surprising nor unsurprising","Neither likely nor unlikely","Neither likely nor unlikely","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"102","True","R_5aACYxcUVxYa2c1","Slightly surprising","Neither likely nor unlikely","Slightly unlikely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"35","True","R_7IS1Kr7C6GcMSh7","","","","","","","Slightly unsurprising","Slightly unlikely","Slightly unlikely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"81","True","R_3EsOpJBWj8RHsaz","","","","","","","Neither surprising nor unsurprising","Neither likely nor unlikely","Moderately unlikely","Students","","Man","","21","Other (Specify)","Financial incentives (discounts) for bringing own cup","Control"
"529","True","R_2H9TSxzQ4IULDdT","Slightly unsurprising","Extremely unlikely","Extremely unlikely","","","","","","","Students","","Woman","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"77","True","R_71idYdB1BcWDx7Q","Slightly surprising","Slightly unlikely","Extremely unlikely","","","","","","","Students","","Man","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"86","True","R_7QJuDOC1IhRSDOw","","","","","","","Extremely surprising","Extremely likely","Extremely likely","Students","","Woman","","24","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"198","True","R_2VeaIklDV8zzLHB","","","","Slightly surprising","Slightly likely","Moderately likely","","","","Staff","","Woman","","26","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"119","True","R_3neCpmy00f3CqJj","","","","Neither surprising nor unsurprising","Slightly likely","Moderately likely","","","","Students","","Woman","","21 ","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"93","True","R_7niLWxKVws6dFMN","Moderately unsurprising","Slightly unlikely","Moderately likely","","","","","","","Students","","Woman","","29","Other (Specify)","Social image of using reusable mug (as opposed to being perceived as non-environmentally conscious with a single use mug)","Gain"
"2055","True","R_1rsl5O1fUZbyBCV","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Students","","Man","","22","Other (Specify)","i’m highly unlikely to change this consumption ","Control"
"120","True","R_2KZtSnJcTmzqakx","","","","Neither surprising nor unsurprising","Extremely unlikely","Extremely unlikely","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"97","True","R_3D0yQckLdTNPisS","","","","","","","Moderately unsurprising","Slightly likely","Moderately likely","Students","","Man","","23","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"158","True","R_2hYF2B3pjNCqbdN","","","","Moderately unsurprising","Extremely likely","Moderately unlikely","","","","Not Affiliated","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"95","True","R_3dAMuka0WEL5e8m","Moderately unsurprising","Moderately unlikely","Moderately likely","","","","","","","Students","","Woman","","27","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"71","True","R_42SEOynLeNfpob0","Extremely unsurprising","Extremely likely","Extremely likely","","","","","","","Not Affiliated","","Woman","","23","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"86","True","R_3GDeH952U9AnE81","","","","Slightly surprising","Neither likely nor unlikely","Slightly likely","","","","Other (please specify)","","Woman","","","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"70","True","R_7lGIzWRUpQkK2Yj","","","","","","","Extremely unsurprising","Moderately likely","Slightly unlikely","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"206","True","R_1GE3pwMfaG8DBJs","","","","Moderately surprising","Moderately unlikely","Extremely unlikely","","","","Students","","Woman","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"82","True","R_3cLtaPtGCZVj9Lz","Extremely unsurprising","Extremely unlikely","Extremely unlikely","","","","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"57","True","R_23gt5PZ3pzJCZTm","","","","","","","Neither surprising nor unsurprising","Slightly likely","Moderately likely","Students","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Control"
"243","True","R_1Z6CEVDSPMGMndv","Slightly unsurprising","Moderately unlikely","Moderately unlikely","","","","","","","Not Affiliated","","Woman","","21","Other (Specify)","Convenience ","Gain"
"51","True","R_5eS3YxVk6UzgiFw","","","","Slightly unsurprising","Slightly likely","Slightly likely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"46","False","R_1ourZDKzXf0Qcug","","","","","","","","","","","","","","","","","Gain"
"104","True","R_2DtjbpYnxTylvoj","","","","","","","Extremely unsurprising","Slightly unlikely","Slightly unlikely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"64","True","R_1MZqxvJgQqTZRmh","","","","Moderately surprising","Extremely likely","Moderately unlikely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"44","True","R_6XcaTRkm0x99TYz","","","","","","","Slightly unsurprising","Slightly unlikely","Extremely unlikely","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"5","False","R_19pIqBIn62gem7D","","","","","","","","","","","","","","","","","Gain"
